Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
210000,00000097,false,Rx,0,8,80,A0,20,02,00,00,00,02,
0,00000158,false,Rx,0,8,11,E7,05,19,11,E7,BD,23,
0,00000188,false,Rx,0,6,04,04,80,08,00,5A,00,00,
0,0000018E,false,Rx,0,3,00,00,2F,00,00,00,00,00,
0,00000136,false,Rx,0,8,00,00,00,18,0C,00,00,36,
0,0000013A,false,Rx,0,8,00,00,00,00,00,00,00,37,
216000,0000013F,false,Rx,0,8,02,2D,02,30,00,28,00,32,
216000,0000015A,false,Rx,0,8,00,00,00,00,00,00,00,35,
216000,0000017C,false,Rx,0,8,00,00,05,6A,48,00,00,30,
218000,00000039,false,Rx,0,2,00,1B,00,00,00,00,00,00,
219000,00000156,false,Rx,0,6,00,02,00,01,07,02,00,00,
0,00000097,false,Rx,0,8,80,60,20,01,FF,00,00,18,
0,0000030C,false,Rx,0,8,13,4E,4C,3C,01,60,90,31,
0,00000158,false,Rx,0,8,11,EC,05,1A,11,EC,BD,37,
0,00000188,false,Rx,0,6,04,04,80,08,00,69,00,00,
0,0000018E,false,Rx,0,3,00,03,3B,00,00,00,00,00,
0,00000136,false,Rx,0,8,00,00,00,18,0C,00,00,09,
225000,0000013A,false,Rx,0,8,00,00,00,00,00,00,00,0A,
226000,0000013F,false,Rx,0,8,02,2D,02,30,00,00,00,0F,
226000,0000015A,false,Rx,0,8,00,00,00,00,00,00,00,08,
226000,0000017C,false,Rx,0,8,00,00,05,6A,48,00,00,03,
226000,000001A4,false,Rx,0,8,00,68,00,00,00,00,00,29,
226000,000001AA,false,Rx,0,8,7F,FF,00,00,00,00,68,2F,
227000,000001B0,false,Rx,0,7,80,50,7F,FF,00,00,29,00,
0,000001D0,false,Rx,0,8,24,76,48,B4,91,E1,24,49,
0,000001DC,false,Rx,0,4,02,05,6A,07,00,00,00,00,
227000,000001E7,false,Rx,0,4,1A,00,68,27,00,00,00,00,
0,00000156,false,Rx,0,6,00,02,00,01,07,11,00,00,
0,00000039,false,Rx,0,2,00,2A,00,00,00,00,00,00,
0,000001C0,false,Rx,0,7,00,00,10,00,00,00,37,00,
0,000001A6,false,Rx,0,8,02,00,00,4B,63,80,00,32,
0,00000294,false,Rx,0,8,00,15,00,03,FA,C4,20,05,
230000,00000097,false,Rx,0,8,80,60,20,01,FE,00,00,28,
0,00000158,false,Rx,0,8,11,E7,05,1A,11,E7,BD,04,
0,00000188,false,Rx,0,6,04,04,80,08,00,78,00,00,
0,0000018E,false,Rx,0,3,00,02,0F,00,00,00,00,00,
