Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
447000,000001A6,false,Rx,0,8,02,00,00,4D,5B,80,00,2A,
0,00000158,false,Rx,0,8,17,B5,06,BF,17,B5,98,18,
0,00000188,false,Rx,0,6,04,04,80,08,00,4B,00,00,
0,0000018E,false,Rx,0,3,00,06,29,00,00,00,00,00,
0,00000039,false,Rx,0,2,00,1B,00,00,00,00,00,00,
453000,00000097,false,Rx,0,8,80,60,20,01,F9,00,00,0F,
0,00000136,false,Rx,0,8,00,00,00,12,06,00,00,32,
0,0000013A,false,Rx,0,8,00,00,00,00,00,00,00,37,
0,0000013F,false,Rx,0,8,01,34,01,23,00,1E,00,35,
0,0000017C,false,Rx,0,8,00,00,07,08,48,00,00,36,
456000,0000015A,false,Rx,0,8,00,00,00,43,00,00,00,2F,
456000,000001A4,false,Rx,0,8,00,68,00,00,00,00,00,1A,
456000,000001AA,false,Rx,0,8,7F,FF,00,00,00,00,68,10,
0,000001B0,false,Rx,0,7,80,10,7F,FF,00,00,1E,00,
0,00000156,false,Rx,0,6,FF,EF,00,00,07,28,00,00,
458000,000001D0,false,Rx,0,8,30,48,60,5C,C2,71,84,3F,
0,000001E7,false,Rx,0,4,1A,00,68,18,00,00,00,00,
0,00000406,false,Rx,0,5,00,00,00,01,3A,00,00,00,
0,00000158,false,Rx,0,8,17,AB,06,BD,17,AB,98,2F,
0,00000188,false,Rx,0,6,04,04,80,08,00,5A,00,00,
459000,0000018E,false,Rx,0,3,00,02,3C,00,00,00,00,00,
460000,00000039,false,Rx,0,2,00,2A,00,00,00,00,00,00,
463000,00000097,false,Rx,0,8,80,60,10,01,F9,00,00,1F,
465000,00000136,false,Rx,0,8,00,00,00,12,06,00,00,05,
465000,0000013A,false,Rx,0,8,00,00,00,00,00,00,00,0A,
465000,0000013F,false,Rx,0,8,01,2F,01,23,00,0A,00,03,
465000,0000017C,false,Rx,0,8,00,00,07,09,48,00,00,08,
465000,000001DC,false,Rx,0,4,02,07,09,2A,00,00,00,00,
466000,0000015A,false,Rx,0,8,00,00,00,43,00,00,00,3E,
466000,000001C0,false,Rx,0,7,00,00,10,00,00,00,37,00,
0,00000421,false,Rx,0,5,00,00,00,01,00,00,00,00,
0,00000156,false,Rx,0,6,FF,EF,00,00,07,37,00,00,
466000,000001A6,false,Rx,0,8,02,00,00,4D,5D,80,00,37,
468000,00000294,false,Rx,0,8,00,15,00,03,FA,C1,20,08,
468000,00000309,false,Rx,0,8,18,E4,00,00,00,3F,00,78,
